比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,193,012805,广发恒生科技,07-01,0.8942,0.8942,-0.08%,-0.04%,1.88%,-3.60%,15.35%,43.39%,29.65%,9.06%,15.35%,-10.58%,43.39%,0.00%,
,194,018579,鑫元国证20,07-01,1.1607,1.1607,0.42%,2.94%,6.27%,5.44%,15.47%,43.38%,---,---,15.47%,16.07%,43.38%,0.12%,
,195,012570,建信恒生科技,06-30,1.5315,1.5315,-0.75%,2.00%,2.23%,-2.62%,16.04%,43.29%,28.44%,---,16.04%,53.15%,---,0.12%,
,196,017548,天弘国证20,07-01,1.0923,1.0923,0.22%,3.20%,7.87%,7.01%,18.86%,43.27%,9.30%,---,18.86%,9.23%,43.27%,0.00%,
,197,021672,国泰中证全指,07-01,0.8366,0.8366,-1.58%,3.21%,6.15%,0.50%,5.29%,43.13%,---,---,5.29%,34.54%,43.13%,0.00%,
,198,012637,国泰中证全指,07-01,0.8292,0.8292,-1.59%,3.20%,6.14%,0.50%,5.27%,43.11%,-16.81%,5.12%,5.27%,-17.08%,43.11%,0.00%,
,199,013278,富国中证体育,07-01,1.0160,1.0160,0.30%,3.89%,10.08%,11.65%,14.67%,43.10%,-9.29%,24.66%,14.67%,17.19%,43.10%,0.00%,
,200,020667,富国创业板中,07-01,1.3187,1.3187,-0.08%,3.13%,8.34%,3.56%,10.31%,43.09%,---,---,10.31%,31.87%,43.09%,0.12%,
,201,018103,易方达中证港,07-01,1.2593,1.2593,-0.07%,-0.46%,0.89%,-1.79%,18.66%,43.02%,27.80%,---,18.66%,25.93%,43.02%,0.12%,
,202,008590,天弘中证全指,07-01,1.2529,1.2529,-0.41%,2.60%,7.91%,4.05%,-3.00%,43.01%,28.90%,18.89%,-3.00%,25.29%,43.01%,0.10%,
,203,020853,大成中证芯片,07-01,1.4733,1.4733,-0.54%,1.88%,4.06%,-0.87%,2.48%,43.01%,---,---,2.48%,47.33%,43.01%,0.15%,
,204,012605,东财证券保险,07-01,1.1662,1.1662,-0.20%,1.86%,7.86%,6.85%,0.74%,43.00%,30.65%,28.39%,0.74%,16.62%,43.00%,0.12%,
,205,018386,招商中证全指,07-01,0.8269,0.8269,-1.57%,3.23%,6.44%,0.93%,5.99%,42.99%,-16.15%,---,5.99%,-17.31%,42.99%,0.00%,
,206,015867,国泰君安中证,07-01,1.1992,1.1992,0.58%,3.30%,6.65%,6.08%,13.78%,42.93%,19.91%,---,13.78%,19.92%,42.93%,0.15%,
,207,001426,南方大数据3,07-01,1.5197,1.5197,0.54%,2.86%,8.67%,7.32%,18.73%,42.90%,17.46%,7.35%,18.73%,51.97%,42.90%,0.00%,
,208,018577,摩根恒生科技,07-01,1.2342,1.2342,-0.07%,0.19%,2.62%,-2.43%,15.23%,42.88%,---,---,15.23%,23.42%,---,0.12%,
,209,001552,天弘中证证券,07-01,1.0740,1.0740,-0.26%,2.09%,7.92%,6.00%,-0.32%,42.84%,31.39%,26.01%,-0.32%,7.40%,42.84%,0.10%,
,210,018292,华夏国证20,07-01,1.1299,1.1299,0.47%,3.31%,8.70%,9.13%,17.94%,42.84%,10.48%,---,17.94%,12.99%,42.84%,0.10%,
,211,020668,富国创业板中,07-01,1.3154,1.3154,-0.08%,3.13%,8.32%,3.51%,10.20%,42.82%,---,---,10.20%,31.54%,42.82%,0.00%,
,212,018580,鑫元国证20,07-01,1.1519,1.1519,0.42%,2.93%,6.23%,5.33%,15.24%,42.81%,---,---,15.24%,15.19%,42.81%,0.00%,
,213,008591,天弘中证全指,07-01,1.2390,1.2390,-0.42%,2.59%,7.88%,4.00%,-3.10%,42.71%,28.38%,18.18%,-3.10%,23.90%,42.71%,0.00%,
,214,020854,大成中证芯片,07-01,1.4686,1.4686,-0.54%,1.88%,4.04%,-0.93%,2.34%,42.60%,---,---,2.34%,46.86%,42.60%,0.00%,
,215,018104,易方达中证港,07-01,1.2507,1.2507,-0.07%,-0.47%,0.86%,-1.87%,18.47%,42.59%,27.03%,---,18.47%,25.07%,42.59%,0.00%,
,216,001553,天弘中证证券,07-01,1.0509,1.0509,-0.27%,2.09%,7.90%,5.95%,-0.42%,42.55%,30.87%,25.26%,-0.42%,5.09%,42.55%,0.00%,
,217,016936,博时中证10,07-01,1.2784,1.2784,0.52%,2.98%,7.95%,6.08%,15.57%,42.52%,24.18%,---,15.57%,27.84%,42.52%,0.10%,
,218,015921,申万菱信国证,07-01,1.1044,1.1044,0.53%,2.07%,5.54%,6.11%,14.67%,42.47%,6.71%,---,14.67%,10.44%,42.47%,0.12%,
,219,012606,东财证券保险,07-01,1.1479,1.1479,-0.20%,1.85%,7.82%,6.75%,0.54%,42.44%,29.60%,26.85%,0.54%,14.79%,42.44%,0.00%,
,220,501016,国泰中证申万,07-01,1.2316,1.2316,-0.44%,2.59%,7.85%,4.05%,-2.95%,42.38%,29.13%,19.16%,-2.95%,23.16%,42.38%,0.12%,
,221,015868,国泰君安中证,07-01,1.1855,1.1855,0.58%,3.28%,6.62%,5.97%,13.54%,42.37%,18.95%,---,13.54%,18.55%,42.37%,0.00%,
,222,006355,华宝香港大盘,07-01,1.3003,1.3003,-0.08%,-1.14%,2.47%,1.82%,20.01%,42.34%,46.35%,39.52%,20.01%,10.71%,42.34%,0.00%,
,223,018293,华夏国证20,07-01,1.1205,1.1205,0.47%,3.30%,8.66%,9.02%,17.71%,42.29%,9.61%,---,17.71%,12.05%,42.29%,0.00%,
