比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,231,210009,金鹰核心资源,07-01,2.2873,2.3873,0.31%,4.60%,12.10%,6.13%,18.96%,50.29%,28.72%,77.72%,18.96%,150.39%,50.29%,0.15%,
,232,016516,申万菱信智能,07-01,1.3426,1.3426,-0.19%,2.33%,7.01%,7.28%,14.47%,50.21%,29.41%,---,14.47%,34.26%,50.21%,0.00%,
,233,012587,南方港股创新,07-01,1.4465,1.4465,-0.07%,1.01%,4.66%,11.95%,32.76%,50.18%,54.74%,49.31%,32.76%,44.65%,50.18%,0.00%,
,234,009707,工银新兴制造,07-01,1.8730,1.8730,-0.44%,1.29%,5.28%,-0.41%,7.22%,50.14%,40.16%,35.12%,7.22%,87.30%,50.14%,0.15%,
,235,519929,长信电子信息,07-01,1.1890,1.1890,0.51%,4.85%,12.59%,10.09%,18.19%,50.13%,14.66%,5.50%,18.19%,18.90%,50.13%,0.15%,
,236,007490,南方信息创新,07-01,1.9028,1.9028,0.80%,2.86%,8.58%,0.58%,12.31%,50.11%,6.34%,-1.63%,12.31%,90.28%,50.11%,0.15%,
,237,019029,华宝医药生物,07-01,3.3280,3.7890,4.65%,3.16%,6.70%,24.88%,50.86%,50.05%,---,---,50.86%,38.86%,50.05%,0.00%,
,238,003397,银华体育文化,07-01,1.6700,1.6700,0.00%,4.31%,12.53%,11.48%,17.03%,50.04%,-12.93%,25.75%,17.03%,67.00%,50.04%,0.15%,
,239,014287,泰康新锐成长,07-01,1.0144,1.0144,-0.48%,2.88%,10.60%,9.81%,19.98%,50.04%,7.12%,---,19.98%,1.44%,50.04%,--,
,240,012846,恒越蓝筹精选,07-01,1.0528,1.0528,1.30%,4.50%,9.26%,14.10%,28.36%,49.91%,20.94%,11.40%,28.36%,5.28%,49.91%,0.15%,
,241,019393,嘉实匠心严选,07-01,1.4491,1.4491,-0.23%,0.64%,1.53%,-1.82%,20.47%,49.89%,---,---,20.47%,44.91%,49.89%,0.00%,
,242,011674,长城医药科技,07-01,0.7846,0.7846,4.10%,1.95%,9.67%,21.68%,46.85%,49.88%,15.88%,-5.62%,46.85%,-21.54%,49.88%,0.00%,
,243,012981,华夏创新医药,07-01,0.9080,0.9080,2.80%,1.12%,7.06%,19.04%,48.32%,49.64%,23.96%,4.98%,48.32%,-9.20%,49.64%,0.15%,
,244,015849,富国创新企业,07-01,1.8946,1.8946,0.22%,0.62%,2.92%,-2.23%,8.92%,49.58%,6.59%,-2.50%,8.92%,-2.21%,49.58%,0.00%,
,245,013153,长信电子信息,07-01,1.1710,1.1710,0.52%,4.83%,12.60%,10.06%,17.93%,49.55%,13.80%,4.27%,17.93%,-22.91%,49.55%,0.00%,
